user_id,month,registration_date,promo_type
U0000006,2024_07,2024-07-04,social_bundle
U0000006,2024_07,2024-07-24,weekend_special
U0000007,2024_07,2024-07-12,combo_pack
U0000007,2024_07,2024-07-06,combo_pack
U0000023,2024_07,2024-07-21,data_booster
U0000024,2024_07,2024-07-28,combo_pack
U0000024,2024_07,2024-07-18,combo_pack
U0000026,2024_07,2024-07-15,social_bundle
U0000027,2024_07,2024-07-15,weekend_special
U0000041,2024_07,2024-07-25,combo_pack
U0000051,2024_07,2024-07-24,data_booster
U0000051,2024_07,2024-07-12,social_bundle
U0000052,2024_07,2024-07-17,social_bundle
U0000052,2024_07,2024-07-03,weekend_special
U0000054,2024_07,2024-07-09,social_bundle
U0000058,2024_07,2024-07-24,data_booster
U0000071,2024_07,2024-07-07,data_booster
U0000079,2024_07,2024-07-22,social_bundle
U0000091,2024_07,2024-07-25,social_bundle
U0000104,2024_07,2024-07-12,combo_pack
U0000107,2024_07,2024-07-27,data_booster
U0000107,2024_07,2024-07-02,combo_pack
U0000109,2024_07,2024-07-01,weekend_special
U0000115,2024_07,2024-07-17,weekend_special
U0000131,2024_07,2024-07-08,social_bundle
U0000131,2024_07,2024-07-07,combo_pack
U0000168,2024_07,2024-07-16,social_bundle
U0000190,2024_07,2024-07-14,data_booster
U0000190,2024_07,2024-07-06,weekend_special
U0000197,2024_07,2024-07-23,data_booster
U0000207,2024_07,2024-07-02,combo_pack
U0000226,2024_07,2024-07-22,weekend_special
U0000231,2024_07,2024-07-06,weekend_special
U0000233,2024_07,2024-07-21,social_bundle
U0000236,2024_07,2024-07-20,combo_pack
U0000246,2024_07,2024-07-21,combo_pack
U0000265,2024_07,2024-07-05,weekend_special
U0000266,2024_07,2024-07-20,data_booster
U0000266,2024_07,2024-07-12,social_bundle
U0000267,2024_07,2024-07-07,social_bundle
U0000273,2024_07,2024-07-26,weekend_special
U0000278,2024_07,2024-07-17,social_bundle
U0000291,2024_07,2024-07-02,data_booster
U0000292,2024_07,2024-07-17,combo_pack
U0000295,2024_07,2024-07-09,weekend_special
U0000295,2024_07,2024-07-04,combo_pack
U0000322,2024_07,2024-07-12,data_booster
U0000322,2024_07,2024-07-07,social_bundle
U0000334,2024_07,2024-07-07,combo_pack
U0000339,2024_07,2024-07-10,combo_pack
U0000342,2024_07,2024-07-10,data_booster
U0000345,2024_07,2024-07-19,social_bundle
U0000353,2024_07,2024-07-22,weekend_special
U0000358,2024_07,2024-07-26,social_bundle
U0000359,2024_07,2024-07-09,weekend_special
U0000368,2024_07,2024-07-15,data_booster
U0000368,2024_07,2024-07-16,combo_pack
U0000373,2024_07,2024-07-17,combo_pack
U0000381,2024_07,2024-07-24,social_bundle
U0000391,2024_07,2024-07-21,social_bundle
U0000394,2024_07,2024-07-06,combo_pack
U0000398,2024_07,2024-07-27,data_booster
U0000398,2024_07,2024-07-05,weekend_special
U0000408,2024_07,2024-07-01,data_booster
U0000409,2024_07,2024-07-17,data_booster
U0000409,2024_07,2024-07-05,combo_pack
U0000422,2024_07,2024-07-07,combo_pack
U0000443,2024_07,2024-07-25,combo_pack
U0000453,2024_07,2024-07-06,data_booster
U0000474,2024_07,2024-07-05,data_booster
U0000477,2024_07,2024-07-27,data_booster
U0000478,2024_07,2024-07-22,weekend_special
U0000482,2024_07,2024-07-08,data_booster
U0000482,2024_07,2024-07-03,data_booster
U0000490,2024_07,2024-07-19,weekend_special
U0000494,2024_07,2024-07-06,weekend_special
U0000494,2024_07,2024-07-19,weekend_special
U0000500,2024_07,2024-07-25,data_booster
U0000519,2024_07,2024-07-06,weekend_special
U0000522,2024_07,2024-07-24,weekend_special
U0000522,2024_07,2024-07-09,weekend_special
U0000523,2024_07,2024-07-05,social_bundle
U0000528,2024_07,2024-07-24,combo_pack
U0000528,2024_07,2024-07-19,combo_pack
U0000539,2024_07,2024-07-06,data_booster
U0000550,2024_07,2024-07-09,data_booster
U0000551,2024_07,2024-07-06,weekend_special
U0000553,2024_07,2024-07-28,social_bundle
U0000553,2024_07,2024-07-18,combo_pack
U0000560,2024_07,2024-07-11,data_booster
U0000581,2024_07,2024-07-07,weekend_special
U0000595,2024_07,2024-07-02,combo_pack
U0000598,2024_07,2024-07-15,social_bundle
U0000606,2024_07,2024-07-04,social_bundle
U0000617,2024_07,2024-07-01,weekend_special
U0000623,2024_07,2024-07-17,social_bundle
U0000625,2024_07,2024-07-14,social_bundle
U0000650,2024_07,2024-07-22,social_bundle
U0000650,2024_07,2024-07-25,weekend_special
U0000652,2024_07,2024-07-11,combo_pack
U0000680,2024_07,2024-07-23,weekend_special
U0000706,2024_07,2024-07-23,social_bundle
U0000707,2024_07,2024-07-01,weekend_special
U0000709,2024_07,2024-07-28,combo_pack
U0000709,2024_07,2024-07-02,data_booster
U0000723,2024_07,2024-07-24,weekend_special
U0000723,2024_07,2024-07-14,weekend_special
U0000726,2024_07,2024-07-08,combo_pack
U0000729,2024_07,2024-07-04,combo_pack
U0000729,2024_07,2024-07-26,data_booster
U0000732,2024_07,2024-07-21,combo_pack
U0000732,2024_07,2024-07-04,data_booster
U0000738,2024_07,2024-07-25,weekend_special
U0000748,2024_07,2024-07-11,data_booster
U0000749,2024_07,2024-07-26,data_booster
U0000761,2024_07,2024-07-03,social_bundle
U0000762,2024_07,2024-07-13,weekend_special
U0000766,2024_07,2024-07-25,data_booster
U0000776,2024_07,2024-07-17,combo_pack
U0000776,2024_07,2024-07-25,weekend_special
U0000778,2024_07,2024-07-19,social_bundle
U0000778,2024_07,2024-07-21,data_booster
U0000787,2024_07,2024-07-07,data_booster
U0000791,2024_07,2024-07-09,weekend_special
U0000800,2024_07,2024-07-03,social_bundle
U0000802,2024_07,2024-07-08,combo_pack
U0000804,2024_07,2024-07-17,social_bundle
U0000811,2024_07,2024-07-27,weekend_special
U0000811,2024_07,2024-07-13,data_booster
U0000814,2024_07,2024-07-17,data_booster
U0000815,2024_07,2024-07-16,social_bundle
U0000818,2024_07,2024-07-20,data_booster
U0000820,2024_07,2024-07-24,combo_pack
U0000826,2024_07,2024-07-25,social_bundle
U0000827,2024_07,2024-07-05,data_booster
U0000827,2024_07,2024-07-05,weekend_special
U0000835,2024_07,2024-07-22,data_booster
U0000837,2024_07,2024-07-25,combo_pack
U0000838,2024_07,2024-07-24,combo_pack
U0000838,2024_07,2024-07-05,data_booster
U0000852,2024_07,2024-07-05,combo_pack
U0000852,2024_07,2024-07-11,data_booster
U0000856,2024_07,2024-07-10,data_booster
U0000856,2024_07,2024-07-15,social_bundle
U0000861,2024_07,2024-07-16,combo_pack
U0000864,2024_07,2024-07-13,data_booster
U0000864,2024_07,2024-07-18,social_bundle
U0000881,2024_07,2024-07-28,weekend_special
U0000886,2024_07,2024-07-21,combo_pack
U0000886,2024_07,2024-07-07,weekend_special
U0000887,2024_07,2024-07-13,data_booster
U0000890,2024_07,2024-07-09,data_booster
U0000891,2024_07,2024-07-24,data_booster
U0000893,2024_07,2024-07-10,data_booster
U0000898,2024_07,2024-07-04,combo_pack
U0000898,2024_07,2024-07-04,weekend_special
U0000903,2024_07,2024-07-18,combo_pack
U0000910,2024_07,2024-07-15,weekend_special
U0000910,2024_07,2024-07-19,weekend_special
U0000938,2024_07,2024-07-12,combo_pack
U0000949,2024_07,2024-07-28,combo_pack
U0000953,2024_07,2024-07-12,social_bundle
U0000957,2024_07,2024-07-21,combo_pack
U0000961,2024_07,2024-07-18,combo_pack
U0000970,2024_07,2024-07-14,social_bundle
U0000971,2024_07,2024-07-28,social_bundle
U0000975,2024_07,2024-07-09,data_booster
U0000976,2024_07,2024-07-26,combo_pack
U0000976,2024_07,2024-07-07,combo_pack
U0000981,2024_07,2024-07-08,weekend_special
U0000999,2024_07,2024-07-14,weekend_special
U0001010,2024_07,2024-07-06,combo_pack
U0001032,2024_07,2024-07-04,combo_pack
U0001050,2024_07,2024-07-22,social_bundle
U0001055,2024_07,2024-07-25,data_booster
U0001058,2024_07,2024-07-12,social_bundle
U0001067,2024_07,2024-07-08,weekend_special
U0001081,2024_07,2024-07-09,weekend_special
U0001081,2024_07,2024-07-05,social_bundle
U0001082,2024_07,2024-07-03,combo_pack
U0001084,2024_07,2024-07-19,combo_pack
U0001089,2024_07,2024-07-25,weekend_special
U0001094,2024_07,2024-07-13,social_bundle
U0001099,2024_07,2024-07-06,data_booster
U0001105,2024_07,2024-07-26,social_bundle
U0001108,2024_07,2024-07-04,data_booster
U0001121,2024_07,2024-07-11,social_bundle
U0001142,2024_07,2024-07-08,combo_pack
U0001151,2024_07,2024-07-16,data_booster
U0001162,2024_07,2024-07-04,weekend_special
U0001162,2024_07,2024-07-19,weekend_special
U0001173,2024_07,2024-07-02,data_booster
U0001177,2024_07,2024-07-07,data_booster
U0001177,2024_07,2024-07-07,weekend_special
U0001178,2024_07,2024-07-10,social_bundle
U0001183,2024_07,2024-07-27,data_booster
U0001200,2024_07,2024-07-01,weekend_special
U0001201,2024_07,2024-07-03,social_bundle
U0001203,2024_07,2024-07-16,data_booster
U0001206,2024_07,2024-07-14,data_booster
U0001207,2024_07,2024-07-02,social_bundle
U0001208,2024_07,2024-07-03,combo_pack
U0001209,2024_07,2024-07-17,weekend_special
U0001211,2024_07,2024-07-26,combo_pack
U0001212,2024_07,2024-07-14,social_bundle
U0001213,2024_07,2024-07-03,data_booster
U0001213,2024_07,2024-07-08,data_booster
U0001214,2024_07,2024-07-04,data_booster
U0001216,2024_07,2024-07-27,social_bundle
U0001216,2024_07,2024-07-21,social_bundle
U0001218,2024_07,2024-07-26,weekend_special
U0001219,2024_07,2024-07-12,combo_pack
U0001220,2024_07,2024-07-23,combo_pack
U0001220,2024_07,2024-07-20,social_bundle
U0001221,2024_07,2024-07-05,data_booster
U0001224,2024_07,2024-07-25,weekend_special
U0001226,2024_07,2024-07-20,weekend_special
U0001228,2024_07,2024-07-08,combo_pack
U0001231,2024_07,2024-07-21,social_bundle
U0001231,2024_07,2024-07-06,combo_pack
U0001232,2024_07,2024-07-01,data_booster
U0001234,2024_07,2024-07-14,social_bundle
U0001235,2024_07,2024-07-02,data_booster
U0001236,2024_07,2024-07-09,data_booster
U0001236,2024_07,2024-07-11,weekend_special
U0001237,2024_07,2024-07-04,combo_pack
U0001238,2024_07,2024-07-11,weekend_special
U0001238,2024_07,2024-07-22,social_bundle
U0001240,2024_07,2024-07-10,combo_pack
U0001240,2024_07,2024-07-18,data_booster
U0001241,2024_07,2024-07-14,combo_pack
U0001241,2024_07,2024-07-03,social_bundle
U0001242,2024_07,2024-07-15,data_booster
U0001242,2024_07,2024-07-03,combo_pack
U0001243,2024_07,2024-07-14,social_bundle
U0001244,2024_07,2024-07-02,data_booster
U0001244,2024_07,2024-07-22,data_booster
U0001246,2024_07,2024-07-22,combo_pack
U0001247,2024_07,2024-07-09,combo_pack
U0001248,2024_07,2024-07-08,data_booster
U0001249,2024_07,2024-07-04,data_booster
U0001250,2024_07,2024-07-28,data_booster
U0001250,2024_07,2024-07-14,social_bundle
U0001251,2024_07,2024-07-06,social_bundle
U0001252,2024_07,2024-07-28,weekend_special
U0001253,2024_07,2024-07-19,combo_pack
U0001254,2024_07,2024-07-11,combo_pack
U0001255,2024_07,2024-07-09,weekend_special
U0001256,2024_07,2024-07-09,social_bundle
U0001257,2024_07,2024-07-16,social_bundle
U0001258,2024_07,2024-07-07,social_bundle
U0001261,2024_07,2024-07-28,combo_pack
U0001262,2024_07,2024-07-20,weekend_special
U0001263,2024_07,2024-07-07,weekend_special
U0001264,2024_07,2024-07-05,data_booster
U0001264,2024_07,2024-07-22,data_booster
U0001265,2024_07,2024-07-27,data_booster
U0001266,2024_07,2024-07-10,weekend_special
U0001267,2024_07,2024-07-01,data_booster
U0001268,2024_07,2024-07-21,data_booster
U0001271,2024_07,2024-07-28,weekend_special
U0001272,2024_07,2024-07-23,data_booster
U0001272,2024_07,2024-07-26,combo_pack
U0001273,2024_07,2024-07-28,combo_pack
U0001274,2024_07,2024-07-20,data_booster
U0001275,2024_07,2024-07-13,data_booster
U0001278,2024_07,2024-07-28,social_bundle
U0001279,2024_07,2024-07-26,social_bundle
U0001279,2024_07,2024-07-28,social_bundle
U0001280,2024_07,2024-07-02,social_bundle
U0001284,2024_07,2024-07-19,data_booster
U0001286,2024_07,2024-07-13,social_bundle
U0001287,2024_07,2024-07-13,weekend_special
U0001288,2024_07,2024-07-05,social_bundle
U0001290,2024_07,2024-07-11,social_bundle
U0001293,2024_07,2024-07-05,data_booster
U0001296,2024_07,2024-07-16,social_bundle
U0001299,2024_07,2024-07-15,combo_pack
U0001299,2024_07,2024-07-03,data_booster
U0001300,2024_07,2024-07-09,data_booster
U0001302,2024_07,2024-07-10,data_booster
U0001302,2024_07,2024-07-04,social_bundle
U0001303,2024_07,2024-07-13,data_booster
U0001305,2024_07,2024-07-02,weekend_special
U0001306,2024_07,2024-07-18,weekend_special
U0001307,2024_07,2024-07-14,social_bundle
U0001308,2024_07,2024-07-20,combo_pack
U0001311,2024_07,2024-07-21,weekend_special
U0001313,2024_07,2024-07-12,data_booster
U0001313,2024_07,2024-07-15,combo_pack
U0001314,2024_07,2024-07-08,combo_pack
U0001318,2024_07,2024-07-11,data_booster
U0001320,2024_07,2024-07-21,weekend_special
U0001321,2024_07,2024-07-15,weekend_special
U0001321,2024_07,2024-07-23,social_bundle
U0001322,2024_07,2024-07-05,data_booster
U0001325,2024_07,2024-07-07,social_bundle
U0001328,2024_07,2024-07-16,social_bundle
U0001329,2024_07,2024-07-01,social_bundle
U0001330,2024_07,2024-07-10,combo_pack
U0001331,2024_07,2024-07-14,weekend_special
U0001334,2024_07,2024-07-04,combo_pack
U0001338,2024_07,2024-07-21,data_booster
U0001340,2024_07,2024-07-06,social_bundle
U0001340,2024_07,2024-07-19,data_booster
U0001341,2024_07,2024-07-04,social_bundle
U0001343,2024_07,2024-07-06,data_booster
U0001344,2024_07,2024-07-10,combo_pack
U0001345,2024_07,2024-07-13,social_bundle
U0001346,2024_07,2024-07-14,weekend_special
U0001346,2024_07,2024-07-24,data_booster
U0001347,2024_07,2024-07-04,social_bundle
U0001348,2024_07,2024-07-18,weekend_special
U0001349,2024_07,2024-07-17,weekend_special
U0001349,2024_07,2024-07-14,weekend_special
U0001350,2024_07,2024-07-26,combo_pack
U0001351,2024_07,2024-07-19,social_bundle
U0001351,2024_07,2024-07-13,social_bundle
U0001352,2024_07,2024-07-01,combo_pack
U0001353,2024_07,2024-07-28,weekend_special
U0001356,2024_07,2024-07-06,social_bundle
U0001357,2024_07,2024-07-15,combo_pack
U0001362,2024_07,2024-07-10,combo_pack
U0001363,2024_07,2024-07-22,data_booster
U0001367,2024_07,2024-07-26,weekend_special
U0001367,2024_07,2024-07-05,data_booster
U0001368,2024_07,2024-07-21,combo_pack
U0001370,2024_07,2024-07-07,weekend_special
U0001371,2024_07,2024-07-25,social_bundle
U0001372,2024_07,2024-07-28,social_bundle
U0001373,2024_07,2024-07-24,data_booster
U0001375,2024_07,2024-07-22,social_bundle
