user_id,month,data_mb,voice_minutes,sms_count
U0000000,2024_07,174.84,0,0
U0000000,2024_08,69.94,0,4
U0000000,2024_09,69.94,0,0
U0000000,2024_10,48.96,0,0
U0000000,2024_11,34.27,0,0
U0000000,2024_12,13.71,1,0
U0000000,2025_01,16.45,0,0
U0000001,2024_07,134.94,0,1
U0000001,2024_08,53.98,0,0
U0000001,2024_09,21.59,0,0
U0000002,2024_07,218.59,0,0
U0000002,2024_08,153.01,0,1
U0000003,2024_07,133.9,0,0
U0000003,2024_08,93.73,0,0
U0000003,2024_09,112.48,0,0
U0000004,2024_07,143.79,0,0
U0000004,2024_08,143.79,0,0
U0000005,2024_07,183.98,0,0
U0000005,2024_08,220.78,0,1
U0000005,2024_09,154.55,5,0
U0000005,2024_10,154.55,0,0
U0000005,2024_11,108.18,0,4
U0000005,2024_12,108.18,0,0
U0000005,2025_01,75.73,0,0
U0000006,2024_07,153.49,0,0
U0000007,2024_07,179.76,0,0
U0000007,2024_08,179.76,0,1
U0000007,2024_09,71.9,0,0
U0000007,2024_10,28.76,0,0
U0000007,2024_11,11.5,2,0
U0000007,2024_12,4.6,9,0
U0000007,2025_01,4.6,2,0
U0000007,2025_02,3.22,0,1
U0000008,2024_07,173.68,0,0
U0000008,2024_08,173.68,0,0
U0000008,2024_09,69.47,5,0
U0000008,2024_10,48.63,1,1
U0000008,2024_11,19.45,0,0
U0000008,2024_12,19.45,0,0
U0000008,2025_01,7.78,0,0
U0000008,2025_02,9.34,0,0
U0000008,2025_03,9.34,0,1
U0000008,2025_04,11.21,0,0
U0000008,2025_05,11.21,0,0
U0000008,2025_06,7.85,0,0
U0000009,2024_07,147.23,0,0
U0000009,2024_08,103.06,0,4
U0000009,2024_09,103.06,0,0
U0000009,2024_10,103.06,0,0
U0000009,2024_11,72.14,0,0
U0000009,2024_12,50.5,0,0
U0000009,2025_01,50.5,0,1
U0000009,2025_02,35.35,0,0
U0000009,2025_03,24.74,0,0
U0000010,2024_07,94.94,0,0
U0000010,2024_08,66.46,0,0
U0000010,2024_09,26.58,0,0
U0000011,2024_07,182.68,0,0
U0000012,2024_07,113.83,0,3
U0000012,2024_08,113.83,0,0
U0000012,2024_09,79.68,0,1
U0000012,2024_10,55.78,0,0
U0000012,2024_11,39.05,0,0
U0000012,2024_12,27.33,0,0
U0000013,2024_07,170.1,0,0
U0000013,2024_08,170.1,0,0
U0000013,2024_09,170.1,0,2
U0000013,2024_10,119.07,0,0
U0000013,2024_11,142.88,0,0
U0000014,2024_07,138.51,0,0
U0000014,2024_08,96.96,0,0
U0000014,2024_09,67.87,0,1
U0000014,2024_10,67.87,18,0
U0000014,2024_11,47.51,1,2
U0000014,2024_12,33.26,2,0
U0000014,2025_01,23.28,0,0
U0000014,2025_02,16.3,0,0
U0000015,2024_07,97.34,0,0
U0000015,2024_08,68.14,3,0
U0000015,2024_09,47.7,0,0
U0000015,2024_10,33.39,0,0
U0000015,2024_11,23.37,0,0
U0000015,2024_12,16.36,0,0
U0000015,2025_01,6.54,0,0
U0000015,2025_02,4.58,0,0
U0000015,2025_03,4.58,0,0
U0000015,2025_04,3.21,0,3
U0000016,2024_07,162.8,0,0
U0000016,2024_08,65.12,0,0
U0000016,2024_09,26.05,1,1
U0000016,2024_10,18.24,0,0
U0000016,2024_11,12.77,0,0
U0000017,2024_07,155.98,0,1
U0000017,2024_08,109.19,0,0
U0000017,2024_09,43.68,1,0
U0000017,2024_10,17.47,0,3
U0000018,2024_07,127.72,0,0
U0000019,2024_07,239.79,0,0
U0000020,2024_07,145.24,0,0
U0000021,2024_07,172.39,0,0
U0000022,2024_07,121.03,0,2
U0000022,2024_08,84.72,0,0
U0000023,2024_07,219.0,0,2
U0000023,2024_08,153.3,0,1
U0000024,2024_07,143.32,0,0
U0000024,2024_08,143.32,1,0
U0000024,2024_09,57.33,0,0
U0000025,2024_07,78.0,0,0
U0000025,2024_08,78.0,0,0
U0000026,2024_07,161.2,1,0
U0000026,2024_08,161.2,0,0
U0000026,2024_09,112.84,0,0
U0000027,2024_07,114.44,0,0
U0000027,2024_08,80.11,0,1
U0000028,2024_07,162.57,0,3
U0000028,2024_08,65.03,0,0
U0000028,2024_09,65.03,0,0
U0000028,2024_10,45.52,0,0
U0000029,2024_07,129.45,0,0
U0000029,2024_08,129.45,0,0
U0000029,2024_09,90.61,0,0
U0000029,2024_10,36.24,0,0
U0000029,2024_11,36.24,0,0
U0000029,2024_12,14.5,2,1
U0000030,2024_07,220.53,0,0
U0000031,2024_07,157.38,0,0
U0000032,2024_07,77.51,0,0
U0000032,2024_08,93.01,0,0
U0000032,2024_09,65.11,0,0
U0000032,2024_10,65.11,1,0
U0000032,2024_11,65.11,1,0
U0000032,2024_12,45.58,0,2
U0000032,2025_01,31.91,0,1
U0000032,2025_02,31.91,0,0
U0000032,2025_03,22.34,0,0
U0000032,2025_04,22.34,0,0
U0000033,2024_07,227.16,4,0
U0000034,2024_07,173.32,0,0
U0000034,2024_08,69.33,0,0
U0000034,2024_09,48.53,2,0
U0000035,2024_07,149.73,0,1
